No.,Epoch Time,Source,MAC Source,Source Port,Destination,MAC Destination,Destination Port,Protocol,Length,Frame Number,Frame length on the wire,Sequence number,Acknowledgment number,Urgent pointer,Syn,Fin,Push,Congestion Window Reduced (CWR),Explicit Congestion Notification,Time to live,Reserved bit,Don't fragment,More fragments,Fragment offset,Window size value,Total Length,Next sequence number,Timestamp value,Bytes sent since last PSH flag,Re1,Timestamp echo reply,Source
84,1563210032,89.238.68.194,20:e5:2a:b6:93:f1,25,10.7.15.101,00:08:02:1c:47:ae,49166,3,128,84,128,217,121,0,2,2,1,2,2,128,2,2,2,0,64240,114,291,0,74,2,0,normal
85,1563210032,10.7.15.101,00:08:02:1c:47:ae,49166,89.238.68.194,20:e5:2a:b6:93:f1,25,1,54,85,54,121,291,0,2,1,2,2,2,128,2,1,2,0,63950,40,121,0,0,2,0,mydoom
86,1563210032,89.238.68.194,20:e5:2a:b6:93:f1,25,10.7.15.101,00:08:02:1c:47:ae,49166,1,54,86,54,291,122,0,2,2,2,2,2,128,2,2,2,0,64239,40,291,0,0,2,0,normal
87,1563210032,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,82,87,82,0,0,0,0,0,0,0,2,128,2,2,2,0,0,68,0,0,0,0,0,mydoom
88,1563210032,89.238.68.194,20:e5:2a:b6:93:f1,25,10.7.15.101,00:08:02:1c:47:ae,49166,1,54,88,54,291,122,0,2,1,1,2,2,128,2,2,2,0,64239,40,291,0,0,2,0,normal
89,1563210032,10.7.15.101,00:08:02:1c:47:ae,49166,89.238.68.194,20:e5:2a:b6:93:f1,25,1,54,89,54,122,292,0,2,2,2,2,2,128,2,1,2,0,63950,40,122,0,0,2,0,mydoom
90,1563210032,10.7.15.1,20:e5:2a:b6:93:f1,,10.7.15.101,00:08:02:1c:47:ae,,2,152,90,152,0,0,0,0,0,0,0,2,128,2,2,2,0,0,138,0,0,0,0,0,mydoom
91,1563210032,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,85,91,85,0,0,0,0,0,0,0,2,128,2,2,2,0,0,71,0,0,0,0,0,mydoom
92,1563210032,131.252.210.177,20:e5:2a:b6:93:f1,25,10.7.15.101,00:08:02:1c:47:ae,49165,3,188,92,188,211,88,0,2,2,1,2,2,128,2,2,2,0,64240,174,345,0,134,2,0,normal
93,1563210032,10.7.15.101,00:08:02:1c:47:ae,49165,131.252.210.177,20:e5:2a:b6:93:f1,25,1,54,93,54,88,345,0,2,1,2,2,2,128,2,1,2,0,63896,40,88,0,0,2,0,mydoom
94,1563210032,131.252.210.177,20:e5:2a:b6:93:f1,25,10.7.15.101,00:08:02:1c:47:ae,49165,1,54,94,54,345,89,0,2,2,2,2,2,128,2,2,2,0,64239,40,345,0,0,2,0,normal
95,1563210032,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,81,95,81,0,0,0,0,0,0,0,2,128,2,2,2,0,0,67,0,0,0,0,0,mydoom
96,1563210032,10.7.15.1,20:e5:2a:b6:93:f1,,10.7.15.101,00:08:02:1c:47:ae,,2,97,96,97,0,0,0,0,0,0,0,2,128,2,2,2,0,0,83,0,0,0,0,0,mydoom
97,1563210032,10.7.15.101,00:08:02:1c:47:ae,49167,131.252.210.177,20:e5:2a:b6:93:f1,25,1,66,97,66,0,0,0,1,2,2,2,2,128,2,1,2,0,8192,52,0,0,0,2,0,mydoom
98,1563210032,131.252.210.177,20:e5:2a:b6:93:f1,25,10.7.15.101,00:08:02:1c:47:ae,49165,1,54,98,54,345,89,0,2,1,1,2,2,128,2,2,2,0,64239,40,345,0,0,2,0,normal
99,1563210032,10.7.15.101,00:08:02:1c:47:ae,49165,131.252.210.177,20:e5:2a:b6:93:f1,25,1,54,99,54,89,346,0,2,2,2,2,2,128,2,1,2,0,63896,40,89,0,0,2,0,mydoom
100,1563210032,131.252.210.177,20:e5:2a:b6:93:f1,25,10.7.15.101,00:08:02:1c:47:ae,49167,1,58,100,58,0,1,0,1,2,2,2,2,128,2,2,2,0,64240,44,0,0,0,2,0,normal
101,1563210032,10.7.15.101,00:08:02:1c:47:ae,49167,131.252.210.177,20:e5:2a:b6:93:f1,25,1,54,101,54,1,1,0,2,2,2,2,2,128,2,1,2,0,64240,40,1,0,0,2,0,mydoom
102,1563210032,10.7.15.1,20:e5:2a:b6:93:f1,,10.7.15.101,00:08:02:1c:47:ae,,2,155,102,155,0,0,0,0,0,0,0,2,128,2,2,2,0,0,141,0,0,0,0,0,mydoom
103,1563210032,10.7.15.101,00:08:02:1c:47:ae,,10.7.15.1,20:e5:2a:b6:93:f1,,2,87,103,87,0,0,0,0,0,0,0,2,128,2,2,2,0,0,73,0,0,0,0,0,mydoom
104,1563210032,131.252.210.177,20:e5:2a:b6:93:f1,25,10.7.15.101,00:08:02:1c:47:ae,49167,3,107,104,107,1,1,0,2,2,1,2,2,128,2,2,2,0,64240,93,54,0,53,2,0,normal
105,1563210032,10.7.15.101,00:08:02:1c:47:ae,49167,131.252.210.177,20:e5:2a:b6:93:f1,25,3,68,105,68,1,54,0,2,2,1,2,2,128,2,1,2,0,64187,54,15,0,14,2,0,mydoom
106,1563210032,131.252.210.177,20:e5:2a:b6:93:f1,25,10.7.15.101,00:08:02:1c:47:ae,49167,1,54,106,54,54,15,0,2,2,2,2,2,128,2,2,2,0,64240,40,54,0,0,2,0,normal
107,1563210032,199.89.1.120,20:e5:2a:b6:93:f1,25,10.7.15.101,00:08:02:1c:47:ae,49163,3,98,107,98,66,1,0,2,2,1,2,2,128,2,2,2,0,64240,84,110,0,44,2,0,normal
108,1563210032,10.7.15.101,00:08:02:1c:47:ae,49163,199.89.1.120,20:e5:2a:b6:93:f1,25,3,68,108,68,1,110,0,2,2,1,2,2,128,2,1,2,0,64131,54,15,0,14,2,0,mydoom
109,1563210032,199.89.1.120,20:e5:2a:b6:93:f1,25,10.7.15.101,00:08:02:1c:47:ae,49163,1,54,109,54,110,15,0,2,2,2,2,2,128,2,2,2,0,64240,40,110,0,0,2,0,normal
110,1563210032,131.252.210.177,20:e5:2a:b6:93:f1,25,10.7.15.101,00:08:02:1c:47:ae,49167,3,197,110,197,54,15,0,2,2,1,2,2,128,2,2,2,0,64240,183,197,0,143,2,0,normal
111,1563210032,10.7.15.101,00:08:02:1c:47:ae,49167,131.252.210.177,20:e5:2a:b6:93:f1,25,3,82,111,82,15,197,0,2,2,1,2,2,128,2,1,2,0,64044,68,43,0,28,2,0,mydoom
